	ID	Group
SRR15112788	229	Legumes
SRR15112789	230	Legumes
SRR15112790	231	Legumes
ERR2092865	232	Legumes
ERR2092866	233	Legumes
ERR2092867	234	Legumes
ERR2092868	235	Legumes
ERR2092869	236	Legumes
ERR2092870	237	Legumes
ERR2092871	238	Legumes
ERR2092872	239	Legumes
ERR2092873	240	Legumes
ERR2092874	241	Legumes
ERR2092875	242	Legumes
ERR2092876	243	Legumes
ERR2092877	244	Legumes
ERR2092878	245	Legumes
ERR2092879	246	Legumes
ERR2092880	247	Legumes
ERR2092881	248	Legumes
ERR2092882	249	Legumes
ERR2092883	250	Legumes
ERR2092884	251	Legumes
ERR2092885	252	Legumes
ERR2092886	253	Legumes
ERR2092887	254	Legumes
ERR2092888	255	Legumes
ERR2092889	256	Legumes
ERR2092890	257	Legumes
ERR2092891	258	Legumes
ERR2092892	259	Legumes
ERR2092893	260	Legumes
ERR2092894	261	Legumes
ERR2092895	262	Legumes
ERR2092896	263	Legumes
ERR2092897	264	Legumes
ERR2092898	265	Legumes
ERR2092899	266	Legumes
ERR2092900	267	Legumes
SRR11073884	268	Legumes
SRR11073885	269	Legumes
SRR11073886	270	Legumes
SRR11073887	271	Legumes
SRR11073888	272	Legumes
SRR11073889	273	Legumes
SRR11073890	274	Legumes
SRR11073891	275	Legumes
SRR11073892	276	Legumes
SRR11073893	277	Legumes
SRR11073894	278	Legumes
SRR11073895	279	Legumes
SRR11073896	280	Legumes
SRR11073897	281	Legumes
SRR11073898	282	Legumes
SRR11073899	283	Legumes
SRR11073900	284	Legumes
SRR11073901	285	Legumes
SRR11073902	286	Legumes
SRR11073903	287	Legumes
SRR11073914	288	Legumes
SRR11073936	289	Legumes
SRR11073941	290	Legumes
SRR11073942	291	Legumes
SRR11073943	292	Legumes
SRR11073944	293	Legumes
SRR11073945	294	Legumes
SRR11073946	295	Legumes
SRR11073947	296	Legumes
SRR11073948	297	Legumes
SRR11073949	298	Legumes
SRR11073950	299	Legumes
SRR11073951	300	Legumes
SRR11073952	301	Legumes
SRR11073953	302	Legumes
SRR11073954	303	Legumes
SRR11073955	304	Legumes
SRR11073956	305	Legumes
SRR11073957	306	Legumes
SRR11073958	307	Legumes
SRR11073959	308	Legumes
SRR11073960	309	Legumes
SRR11073961	310	Legumes
SRR11073963	311	Legumes
SRR11073964	312	Legumes
SRR11073965	313	Legumes
SRR11073966	314	Legumes
SRR11073967	315	Legumes
SRR11073968	316	Legumes
SRR11073969	317	Legumes
SRR11073971	318	Legumes
SRR11073973	319	Legumes
SRR11073974	320	Legumes
SRR11073976	321	Legumes
SRR11073977	322	Legumes
SRR11073978	323	Legumes
SRR11073979	324	Legumes
SRR11073980	325	Legumes
SRR11073981	326	Legumes
SRR11073982	327	Legumes
SRR11073989	328	Legumes
SRR11074000	329	Legumes
SRR11074011	330	Legumes
SRR11074022	331	Legumes
SRR11074033	332	Legumes
SRR11074044	333	Legumes
SRR11074055	334	Legumes
SRR11074059	335	Legumes
SRR11074060	336	Legumes
SRR11074061	337	Legumes
SRR11074062	338	Legumes
SRR11074063	339	Legumes
SRR11074064	340	Legumes
SRR11074065	341	Legumes
SRR11074066	342	Legumes
SRR11074067	343	Legumes
SRR11074068	344	Legumes
SRR11074069	345	Legumes
SRR11074070	346	Legumes
SRR11074071	347	Legumes
SRR11074072	348	Legumes
SRR11074073	349	Legumes
SRR11074074	350	Legumes
SRR11074075	351	Legumes
SRR11074076	352	Legumes
SRR11074077	353	Legumes
SRR11074078	354	Legumes
SRR11074079	355	Legumes
SRR11074080	356	Legumes
SRR11074081	357	Legumes
SRR11074082	358	Legumes
SRR11074083	359	Legumes
SRR11074084	360	Legumes
SRR11074085	361	Legumes
SRR11074087	362	Legumes
SRR11074088	363	Legumes
SRR11074089	364	Legumes
SRR11074090	365	Legumes
SRR11074091	366	Legumes
SRR11074092	367	Legumes
SRR11074093	368	Legumes
SRR11074094	369	Legumes
SRR11074095	370	Legumes
SRR11074096	371	Legumes
SRR11074097	372	Legumes
SRR11074098	373	Legumes
SRR11074099	374	Legumes
SRR11074100	375	Legumes
SRR11074101	376	Legumes
SRR11074102	377	Legumes
SRR11074103	378	Legumes
SRR11074104	379	Legumes
SRR11074105	380	Legumes
SRR11074106	381	Legumes
SRR11074107	382	Legumes
SRR11074109	383	Legumes
SRR11074120	384	Legumes
SRR11074131	385	Legumes
SRR11074142	386	Legumes
SRR11074143	387	Legumes
SRR11074144	388	Legumes
SRR11074145	389	Legumes
SRR11074147	390	Legumes
SRR7275951	391	Legumes
SRR7275952	392	Legumes
SRR7275953	393	Legumes
SRR7275954	394	Legumes
SRR7275955	395	Legumes
SRR7275956	396	Legumes
SRR7275957	397	Legumes
SRR7275958	398	Legumes
SRR7275959	399	Legumes
SRR7275960	400	Legumes
SRR7275971	401	Legumes
SRR7275972	402	Legumes
SRR7275973	403	Legumes
SRR7275974	404	Legumes
SRR7275975	405	Legumes
SRR7275976	406	Legumes
SRR7275977	407	Legumes
SRR7275978	408	Legumes
SRR7275979	409	Legumes
SRR7275980	410	Legumes
SRR7276013	411	Legumes
SRR7276014	412	Legumes
SRR7276015	413	Legumes
SRR7276016	414	Legumes
SRR7276017	415	Legumes
SRR7276018	416	Legumes
SRR7276019	417	Legumes
SRR7276020	418	Legumes
SRR7276051	419	Legumes
SRR7276052	420	Legumes
SRR7276053	421	Legumes
SRR7276054	422	Legumes
SRR7276055	423	Legumes
SRR7276056	424	Legumes
SRR7276057	425	Legumes
SRR7276058	426	Legumes
SRR7276059	427	Legumes
SRR7276060	428	Legumes
SRR7276061	429	Legumes
SRR7276062	430	Legumes
SRR7276063	431	Legumes
SRR7276064	432	Legumes
SRR7276065	433	Legumes
SRR7276066	434	Legumes
SRR7276067	435	Legumes
SRR7276068	436	Legumes
SRR7276069	437	Legumes
SRR7276070	438	Legumes
SRR8653419	439	Legumes
SRR8653420	440	Legumes
SRR8653421	441	Legumes
SRR8653422	442	Legumes
SRR8653423	443	Legumes
SRR8653424	444	Legumes
SRR8653425	445	Legumes
SRR8653426	446	Legumes
SRR8653446	447	Legumes
SRR8653447	448	Legumes
SRR8653448	449	Legumes
SRR8653449	450	Legumes
SRR8653450	451	Legumes
SRR8653451	452	Legumes
SRR8653452	453	Legumes
SRR8653453	454	Legumes
SRR8653454	455	Legumes
SRR8653455	456	Legumes
SRR8653457	457	Legumes
SRR8653458	458	Legumes
SRR8653459	459	Legumes
SRR8653460	460	Legumes
SRR8653461	461	Legumes
SRR8653462	462	Legumes
SRR8653463	463	Legumes
SRR8653464	464	Legumes
SRR8653467	465	Legumes
SRR8653468	466	Legumes
SRR7938927	467	Legumes
SRR7938957	468	Legumes
SRR8799047	469	Legumes
SRR8799048	470	Legumes
SRR8799049	471	Legumes
SRR8799050	472	Legumes
SRR8799051	473	Legumes
SRR8799052	474	Legumes
SRR8799053	475	Legumes
SRR8799054	476	Legumes
SRR8799055	477	Legumes
SRR8799056	478	Legumes
SRR8799057	479	Legumes
SRR8799058	480	Legumes
SRR8799059	481	Legumes
SRR8799060	482	Legumes
SRR8799061	483	Legumes
SRR8799062	484	Legumes
SRR8799063	485	Legumes
SRR8799064	486	Legumes
SRR8799065	487	Legumes
SRR8799066	488	Legumes
SRR8799067	489	Legumes
SRR8799068	490	Legumes
SRR8799069	491	Legumes
SRR8799070	492	Legumes
SRR8799071	493	Legumes
SRR8799072	494	Legumes
SRR8799073	495	Legumes
SRR8799074	496	Legumes
SRR8799075	497	Legumes
SRR8799076	498	Legumes
SRR8799077	499	Legumes
SRR8799078	500	Legumes
SRR8799079	501	Legumes
SRR8799080	502	Legumes
SRR8799081	503	Legumes
SRR8799082	504	Legumes
SRR8799083	505	Legumes
SRR8799084	506	Legumes
SRR8799085	507	Legumes
SRR8799086	508	Legumes
SRR8799087	509	Legumes
SRR8799088	510	Legumes
SRR8799089	511	Legumes
SRR8799090	512	Legumes
SRR8799091	513	Legumes
SRR10805162	514	Legumes
SRR10805163	515	Legumes
SRR10805164	516	Legumes
SRR10805165	517	Legumes
SRR10805166	518	Legumes
SRR10805167	519	Legumes
SRR10805174	520	Legumes
SRR10805185	521	Legumes
SRR10805188	522	Legumes
SRR10805189	523	Legumes
SRR10805190	524	Legumes
SRR10805191	525	Legumes
SRR10805192	526	Legumes
SRR10805193	527	Legumes
SRR10805194	528	Legumes
SRR10805195	529	Legumes
SRR10805196	530	Legumes
SRR10805197	531	Legumes
SRR12314629	532	Legumes
SRR12314630	533	Legumes
SRR12314631	534	Legumes
SRR12314632	535	Legumes
SRR12314633	536	Legumes
SRR12314634	537	Legumes
SRR12314635	538	Legumes
SRR12314636	539	Legumes
SRR12314637	540	Legumes
SRR12314638	541	Legumes
SRR12314639	542	Legumes
SRR12314640	543	Legumes
SRR12314641	544	Legumes
SRR12314642	545	Legumes
SRR12314643	546	Legumes
SRR12314644	547	Legumes
SRR12314645	548	Legumes
SRR12314646	549	Legumes
SRR12314647	550	Legumes
SRR12314648	551	Legumes
SRR12496142	552	Legumes
SRR12496143	553	Legumes
SRR12496145	554	Legumes
SRR12496147	555	Legumes
