	Kingdom	Phylum	Class	Order	Family	Genus	
OTU_683	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Salinimicrobium	
OTU_684	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Sediminicola	
OTU_685	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Subsaxibacter	
OTU_686	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum	
OTU_687	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Ulvibacter	
OTU_688	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Vitellibacter	
OTU_689	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Winogradskyella	
OTU_690	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zeaxanthinibacter	
OTU_691	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Unassign	
OTU_692	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9_marine_group	NS9_marine_group	
OTU_693	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Unassign	
OTU_694	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Apibacter	
OTU_695	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Bergeyella	
OTU_696	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	
OTU_697	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Cloacibacterium	
OTU_698	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Elizabethkingia	
OTU_699	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Empedobacter	
OTU_700	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Moheibacter	
OTU_701	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Ornithobacterium	
OTU_702	Bacteria	Bacteroidota	Bacteroidia	SM1A07	SM1A07	SM1A07	
OTU_703	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Unassign	Unassign	
OTU_704	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	AKYH767	AKYH767	
OTU_705	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	CWT_CU03-E12	CWT_CU03-E12	
OTU_706	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	FFCH9454	FFCH9454	
OTU_707	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	KD3-93	KD3-93	
OTU_708	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	Unassign	
OTU_709	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	Lentimicrobiaceae	
OTU_710	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	Lentimicrobium	
OTU_711	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	LiUU-11-161	LiUU-11-161	
OTU_712	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12_marine_group	NS11-12_marine_group	
OTU_713	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	S15-21	S15-21	
OTU_714	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Unassign	
OTU_715	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Anseongella	
OTU_716	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Arcticibacter	
OTU_717	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	
OTU_718	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Nubsella	
OTU_719	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Olivibacter	
OTU_720	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Parapedobacter	
OTU_721	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	
OTU_722	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pelobium	
OTU_723	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pseudopedobacter	
OTU_724	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pseudosphingobacterium	
OTU_725	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Solitalea	
OTU_726	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacteriaceae	
OTU_727	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	
OTU_728	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Unassign	
OTU_729	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriales	Sphingobacteriales	
OTU_730	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS_17	env.OPS_17	
OTU_731	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Unassign	Unassign	
OTU_732	Bacteria	Bacteroidota	Chlorobia	Chlorobiales	Chlorobiaceae	Unassign	
OTU_733	Bacteria	Bacteroidota	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	
OTU_734	Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	Unassign	Unassign	
OTU_735	Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	BSV40	BSV40	
OTU_736	Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Ignavibacterium	
OTU_737	Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	Ignavibacteriales	Ignavibacteriales	
OTU_738	Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	LD-RB-34	LD-RB-34	
OTU_739	Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	PHOS-HE36	PHOS-HE36	
OTU_740	Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	SR-FBR-L83	SR-FBR-L83	
OTU_741	Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	UA-50	UA-50	
OTU_742	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	Kapabacteriales	Kapabacteriales	
OTU_743	Bacteria	Bacteroidota	Kryptonia	Kryptoniales	BSV26	BSV26	
OTU_744	Bacteria	Bacteroidota	Kryptonia	Kryptoniales	MSB-3C8	MSB-3C8	
OTU_745	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	Unassign	
OTU_746	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	Balneola	
OTU_747	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	CK06-06-Mud-MAS4B-21	
OTU_748	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	F1-37X2	
OTU_749	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	Gracilimonas	
OTU_750	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	Unassign	
OTU_751	Bacteria	Bacteroidota	Rhodothermia	Rhodothermales	Rhodothermaceae	Unassign	
OTU_752	Bacteria	Bacteroidota	Rhodothermia	Rhodothermales	Rhodothermaceae	Rhodothermaceae	
OTU_753	Bacteria	Bacteroidota	Rhodothermia	Rhodothermales	Rhodothermaceae	Rhodothermus	
OTU_754	Bacteria	Bacteroidota	Rhodothermia	Rhodothermales	Rhodothermaceae	Rubrivirga	
OTU_755	Bacteria	Bacteroidota	Rhodothermia	Rhodothermales	Rhodothermaceae	Unassign	
OTU_756	Bacteria	Bacteroidota	SJA-28	SJA-28	SJA-28	SJA-28	
OTU_757	Bacteria	Bdellovibrionota	Unassign	Unassign	Unassign	Unassign	
OTU_758	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Unassign	
OTU_759	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovorax	
OTU_760	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	
OTU_761	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Unassign	
OTU_762	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	
OTU_763	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27_clade	
OTU_764	Bacteria	Bdellovibrionota	Oligoflexia	Unassign	Unassign	Unassign	
OTU_765	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20	
OTU_766	Bacteria	Bdellovibrionota	Oligoflexia	053A03-B-DI-P58	053A03-B-DI-P58	053A03-B-DI-P58	
OTU_767	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Unassign	Unassign	
OTU_768	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexales	Unassign	
OTU_769	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexales	Oligoflexales	
OTU_770	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexales	Oligoflexus	
OTU_771	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Unassign	Unassign	
OTU_772	Bacteria	Bdellovibrionota	Oligoflexia	Silvanigrellales	Silvanigrellaceae	Unassign	
OTU_773	Bacteria	Bdellovibrionota	Oligoflexia	Silvanigrellales	Silvanigrellaceae	Silvanigrella	
OTU_774	Bacteria	Bdellovibrionota	Oligoflexia	Silvanigrellales	Silvanigrellaceae	Unassign	
OTU_775	Bacteria	CK-2C2-2	CK-2C2-2	CK-2C2-2	CK-2C2-2	CK-2C2-2	
OTU_776	Bacteria	Caldisericota	Caldisericia	Caldisericales	LF045	LF045	
OTU_777	Bacteria	Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	Calditrichaceae	
OTU_778	Bacteria	Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	Calorithrix	
OTU_779	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Unassign	Unassign	
OTU_780	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Unassign	
OTU_781	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	
OTU_782	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Pseudarcobacter	
OTU_783	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	
OTU_784	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	
OTU_785	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfuricurvum	
OTU_786	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	
OTU_787	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Sulfurospirillaceae	Sulfurospirillum	
OTU_788	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum	
OTU_789	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Unassign	Unassign	
OTU_790	Bacteria	Chloroflexi	Unassign	Unassign	Unassign	Unassign	
OTU_791	Bacteria	Chloroflexi	AD3	AD3	AD3	AD3	
OTU_792	Bacteria	Chloroflexi	Anaerolineae	Unassign	Unassign	Unassign	
OTU_793	Bacteria	Chloroflexi	Anaerolineae	1-20	1-20	1-20	
OTU_794	Bacteria	Chloroflexi	Anaerolineae	ADurb.Bin180	ADurb.Bin180	ADurb.Bin180	
OTU_795	Bacteria	Chloroflexi	Anaerolineae	Anaerolineae	Anaerolineae	Anaerolineae	
OTU_796	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Unassign	
OTU_797	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolinea	
OTU_798	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolineaceae	
OTU_799	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolineaceae_UCG-001	
OTU_800	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Bellilinea	
OTU_801	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Flexilinea	
OTU_802	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	GWD2-49-16	
OTU_803	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Leptolinea	
OTU_804	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Levilinea	
OTU_805	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Longilinea	
OTU_806	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Pelolinea	
OTU_807	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	RBG-16-58-14	
OTU_808	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	UTCFX1	
OTU_809	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Unassign	
OTU_810	Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales	Unassign	Unassign	
OTU_811	Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales	Ardenticatenaceae	Unassign	
OTU_812	Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales	Ardenticatenaceae	Ardenticatena	
OTU_813	Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales	Ardenticatenaceae	Ardenticatenaceae	
OTU_814	Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales	Ardenticatenaceae	Unassign	
OTU_815	Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales	Unassign	Unassign	
OTU_816	Bacteria	Chloroflexi	Anaerolineae	C10-SB1A	C10-SB1A	C10-SB1A	
OTU_817	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	Unassign	
OTU_818	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	Caldilineaceae	
OTU_819	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	Litorilinea	
OTU_820	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	Unassign	
OTU_821	Bacteria	Chloroflexi	Anaerolineae	RBG-13-54-9	RBG-13-54-9	RBG-13-54-9	
OTU_822	Bacteria	Chloroflexi	Anaerolineae	SBR1031	Unassign	Unassign	
OTU_823	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	Unassign	
OTU_824	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b	
OTU_825	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	OLB13	
OTU_826	Bacteria	Chloroflexi	Anaerolineae	SBR1031	SBR1031	SBR1031	
OTU_827	Bacteria	Chloroflexi	Anaerolineae	SJA-15	SJA-15	SJA-15	
OTU_828	Bacteria	Chloroflexi	Anaerolineae	Unassign	Unassign	Unassign	
OTU_829	Bacteria	Chloroflexi	Chloroflexi	Chloroflexi	Chloroflexi	Chloroflexi	
OTU_830	Bacteria	Chloroflexi	Chloroflexia	Unassign	Unassign	Unassign	
OTU_831	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Unassign	Unassign	
OTU_832	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Unassign	
OTU_833	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Candidatus_Chloroploca	
OTU_834	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Chloronema	
OTU_835	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	FFCH7168	
OTU_836	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Oscillochloris	
OTU_837	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Herpetosiphonaceae	Herpetosiphon	
OTU_838	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	Unassign	
OTU_839	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	Kouleothrix	
OTU_840	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	Roseiflexus	
OTU_841	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	Unassign	
OTU_842	Bacteria	Chloroflexi	Chloroflexia	Elev-1554	Elev-1554	Elev-1554	
OTU_843	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	Unassign	Unassign	
OTU_844	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	AKIW781	
OTU_845	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	Kallotenuaceae	Kallotenue	
OTU_846	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	Unassign	Unassign	
OTU_847	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	AKYG1722	AKYG1722	
OTU_848	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	JG30-KF-CM45	
OTU_849	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	Thermomicrobiaceae	Unassign	
OTU_850	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	Thermomicrobiaceae	Nitrolancea	
OTU_851	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	Thermomicrobiaceae	Sphaerobacter	
OTU_852	Bacteria	Chloroflexi	Dehalococcoidia	Unassign	Unassign	Unassign	
OTU_853	Bacteria	Chloroflexi	Dehalococcoidia	661239	661239	661239	
OTU_854	Bacteria	Chloroflexi	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalogenimonas	
OTU_855	Bacteria	Chloroflexi	Dehalococcoidia	Dehalococcoidales	Unassign	Unassign	
OTU_856	Bacteria	Chloroflexi	Dehalococcoidia	FS117-23B-02	FS117-23B-02	FS117-23B-02	
OTU_857	Bacteria	Chloroflexi	Dehalococcoidia	FW22	FW22	FW22	
OTU_858	Bacteria	Chloroflexi	Dehalococcoidia	GIF3	GIF3	GIF3	
OTU_859	Bacteria	Chloroflexi	Dehalococcoidia	GIF9	GIF9	GIF9	
OTU_860	Bacteria	Chloroflexi	Dehalococcoidia	MSBL5	MSBL5	MSBL5	
OTU_861	Bacteria	Chloroflexi	Dehalococcoidia	RBG-13-46-9	RBG-13-46-9	RBG-13-46-9	
OTU_862	Bacteria	Chloroflexi	Dehalococcoidia	S085	S085	S085	
OTU_863	Bacteria	Chloroflexi	Dehalococcoidia	SAR202_clade	SAR202_clade	SAR202_clade	
OTU_864	Bacteria	Chloroflexi	Dehalococcoidia	Sh765B-TzT-20	Sh765B-TzT-20	Sh765B-TzT-20	
OTU_865	Bacteria	Chloroflexi	Dehalococcoidia	vadinBA26	vadinBA26	vadinBA26	
OTU_866	Bacteria	Chloroflexi	Gitt-GS-136	Gitt-GS-136	Gitt-GS-136	Gitt-GS-136	
OTU_867	Bacteria	Chloroflexi	JG30-KF-CM66	JG30-KF-CM66	JG30-KF-CM66	JG30-KF-CM66	
OTU_868	Bacteria	Chloroflexi	KD4-96	KD4-96	KD4-96	KD4-96	
OTU_869	Bacteria	Chloroflexi	Ktedonobacteria	Unassign	Unassign	Unassign	
OTU_870	Bacteria	Chloroflexi	Ktedonobacteria	B10-SB3A	B10-SB3A	B10-SB3A	
OTU_871	Bacteria	Chloroflexi	Ktedonobacteria	B12-WMSP1	B12-WMSP1	B12-WMSP1	
OTU_872	Bacteria	Chloroflexi	Ktedonobacteria	C0119	C0119	C0119	
OTU_873	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Unassign	Unassign	
OTU_874	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	JG30-KF-AS9	JG30-KF-AS9	
OTU_875	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	Unassign	
OTU_876	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	1921-2	
OTU_877	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	1921-3	
OTU_878	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	1959-1	
OTU_879	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	BacC-u-018	
OTU_880	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	FCPS473	
OTU_881	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	G12-WMSP1	
OTU_882	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB_OF53-F07	
OTU_883	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	JG30a-KF-32	
OTU_884	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	Ktedonobacter	
OTU_885	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	Ktedonobacteraceae	
OTU_886	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	Thermosporothrix	
OTU_887	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	Unassign	
OTU_888	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacterales	Ktedonobacterales	
OTU_889	Bacteria	Chloroflexi	N9D0	N9D0	N9D0	N9D0	
OTU_890	Bacteria	Chloroflexi	NLS2-31	NLS2-31	NLS2-31	NLS2-31	
OTU_891	Bacteria	Chloroflexi	OLB14	OLB14	OLB14	OLB14	
OTU_892	Bacteria	Chloroflexi	P2-11E	P2-11E	P2-11E	P2-11E	
OTU_893	Bacteria	Chloroflexi	SHA-26	SHA-26	SHA-26	SHA-26	
OTU_894	Bacteria	Chloroflexi	TK10	TK10	TK10	TK10	
OTU_895	Bacteria	Chloroflexi	TK17	TK17	TK17	TK17	
OTU_896	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	Cloacimonadaceae	LNR_A2-18	
OTU_897	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	Cloacimonadales	Cloacimonadales	
OTU_898	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	PBS-18	PBS-18	
OTU_899	Bacteria	Coprothermobacterota	Coprothermobacteria	Coprothermobacterales	Coprothermobacteraceae	Coprothermobacter	
OTU_900	Bacteria	Cyanobacteria	Unassign	Unassign	Unassign	Unassign	
OTU_901	Bacteria	Cyanobacteria	Cyanobacteriia	Unassign	Unassign	Unassign	
OTU_902	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Unassign	Unassign	
OTU_903	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	Unassign	
OTU_904	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	Aliterella	
OTU_905	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	Chroococcidiopsis_PCC_7203	
OTU_906	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	Chroococcidiopsis_SAG_2023	
OTU_907	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	Crinalium_SAG_22.89	
OTU_908	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	Dapisostemonum_CCIBt_3536	
OTU_909	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	Gloeocapsa_PCC-7428	
OTU_910	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	Unassign	
OTU_911	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Coleofasciculaceae	Unassign	
OTU_912	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Coleofasciculaceae	Microcoleus_Es-Yyy1400	
OTU_913	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Coleofasciculaceae	Microcoleus_PCC-7113	
OTU_914	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Coleofasciculaceae	Microcoleus_SAG_1449-1a	
OTU_915	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Coleofasciculaceae	Symplocastrum_CPER-KK1	
OTU_916	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Coleofasciculaceae	Wilmottia_Ant-Ph58	
OTU_917	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Coleofasciculaceae	Unassign	
OTU_918	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Cyanobacteriaceae	Cyanobacteriaceae	
OTU_919	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Cyanobacteriaceae	Geitlerinema_LD9	
OTU_920	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Cyanobacteriales_Incertae_Sedis	Microseira_Carmichael-Alabama	
OTU_921	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Cyanobacteriales_Incertae_Sedis	Unassign	
OTU_922	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Desertifilaceae	CENA533	
OTU_923	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Desertifilaceae	Desertifilum_KR2012-2	
OTU_924	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Microcystaceae	Unassign	
OTU_925	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Microcystaceae	Chalicogloea_CCALA_975	
OTU_926	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Microcystaceae	Merismopedia_0BB39S01	
OTU_927	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Microcystaceae	Microcystis_PCC-7914	
OTU_928	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Microcystaceae	Snowella_0TU37S04	
OTU_929	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Unassign	
OTU_930	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Anabaena_PCC-7108	
OTU_931	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Anabaena_PCC-7122	
OTU_932	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Ancylothrix_8PC	
OTU_933	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Aphanizomenon_NIES81	
OTU_934	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Calothrix_PCC-6303	
